	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Ccs	0	0.257551192808058	0.418	0.213	0
Cdkl4	0	0.257454275248323	0.194	0.004	0
Chtop	0	0.257402420321211	0.501	0.291	0
Arl6	0	0.257171412077589	0.326	0.085	0
Fut9	0	0.256917784628101	0.17	0.009	0
Ppp2r2a	0	0.256565517221978	0.457	0.28	0
Cadm1	0	0.256450946461302	0.46	0.264	0
Chd6	0	0.256441236278408	0.345	0.129	0
Bex1	0	0.256420879186787	0.25	0.017	0
2900097C17Rik	0	0.255931812534117	0.386	0.184	0
Dtymk	0	0.255885919066104	0.432	0.223	0
Ankrd28	0	0.255816868352287	0.236	0.053	0
Ssb	0	0.255754108109151	0.701	0.56	0
Atp5h	0	0.255703946710989	0.961	0.908	0
Ankrd12	0	0.255632625211544	0.456	0.284	0
Gm17455	0	0.25563107962511	0.183	0.003	0
Ppp1r9a	0	0.255550182238761	0.285	0.08	0
Ubxn11	0	0.255485226847017	0.224	0.014	0
Cpox	0	0.25533894213347	0.175	0.07	0
Txndc15	0	0.255117219484826	0.535	0.337	0
Trim37	0	0.255068271464267	0.265	0.065	0
C130071C03Rik	0	0.255018238895618	0.22	0.005	0
Ncam2	0	0.25493713055978	0.179	0.005	0
Atxn1	0	0.254838277863339	0.322	0.124	0
Epha5	0	0.254756488824921	0.189	0.007	0
Prkca	0	0.254552165690639	0.251	0.038	0
Gm5617	0	0.254532048804674	0.357	0.158	0
Dctn4	0	0.254515285858976	0.45	0.266	0
Uckl1os	0	0.254442419183736	0.19	0.003	0
Faim2	0	0.254392385775902	0.215	0.016	0
Anp32e	0	0.254040031206057	0.529	0.348	0
Aamdc	0	0.253915560516052	0.363	0.162	0
Naf1	0	0.25364234155489	0.302	0.086	0
Psmb5	0	0.253372806442183	0.773	0.636	0
ENSMUSG00000079065	0	0.253159210944212	0.323	0.16	0
Mrpl51	0	0.25287359419095	0.6	0.4	0
Rev3l	0	0.25228251094849	0.242	0.054	0
Aco2	0	0.251945576833603	0.521	0.335	0
Ralgds	0	0.251693532884842	0.27	0.081	0
Pink1	0	0.251640164596822	0.372	0.172	0
Abat	0	0.251588203662413	0.221	0.017	0
Znrd2	0	0.251521091069652	0.449	0.216	0
Chchd1	0	0.251383786817256	0.606	0.431	0
Hspa9	0	0.251329119343213	0.596	0.427	0
